,SEX,AGE,y_true,y_pred
0,1,25,0,0
1,2,26,0,0
2,2,32,0,0
3,1,49,0,0
4,2,36,1,0
5,2,29,0,0
6,1,33,1,0
7,2,32,0,0
8,2,38,0,0
9,2,23,0,0
10,2,33,0,1
11,2,25,0,0
12,2,34,0,0
13,2,30,1,1
14,1,29,0,0
15,2,39,0,0
16,2,33,0,0
17,2,51,0,0
18,2,50,0,0
19,1,23,1,1
20,2,33,0,0
21,2,34,1,0
22,1,28,0,0
23,2,34,0,0
24,2,47,0,0
25,2,48,0,0
26,1,45,0,0
27,1,47,1,1
28,1,58,0,0
29,2,36,0,0
30,1,33,0,0
31,1,27,0,0
32,2,22,0,0
33,2,36,0,0
34,2,24,1,0
35,2,36,0,0
36,1,43,0,0
37,2,43,0,0
38,1,31,1,0
39,1,35,0,0
40,2,42,0,0
41,2,36,1,0
42,1,41,1,0
43,2,45,0,0
44,1,37,1,0
45,2,46,0,0
46,1,30,0,1
47,2,27,0,0
48,1,50,0,0
49,1,34,0,0
50,1,70,1,0
51,1,27,0,0
52,1,29,0,0
53,1,31,0,0
54,1,35,0,0
55,1,39,0,0
56,1,42,0,0
57,2,31,0,0
58,1,43,0,0
59,1,26,0,0
60,2,34,1,0
61,2,43,0,1
62,1,51,0,0
63,2,31,0,0
64,1,39,0,0
65,1,36,0,0
66,2,58,0,0
67,1,38,0,0
68,2,24,1,0
69,2,49,0,0
70,2,24,0,0
71,1,60,1,0
72,1,39,1,0
73,1,42,0,0
74,1,36,0,0
75,2,34,1,0
76,2,29,0,0
77,1,47,1,0
78,2,34,0,0
79,2,42,0,0
80,2,35,0,0
81,1,32,1,0
82,2,25,0,0
83,2,36,0,0
84,2,34,0,0
85,2,59,0,0
86,2,44,1,0
87,2,55,1,0
88,2,39,0,0
89,2,29,0,0
90,2,24,1,0
91,2,28,1,0
92,1,24,1,0
93,2,29,0,1
94,2,29,0,0
95,1,28,0,0
96,1,46,1,0
97,2,22,0,0
98,1,30,0,0
99,1,27,1,0
100,2,44,0,0
101,2,32,0,0
102,1,58,0,0
103,1,45,0,0
104,1,55,0,0
105,1,29,0,0
106,1,35,0,0
107,1,32,0,0
108,2,26,0,0
109,1,28,0,0
110,2,33,0,0
111,2,53,0,0
112,2,22,0,0
113,2,30,1,1
114,2,42,1,1
115,1,36,0,0
116,1,33,0,1
117,1,58,0,0
118,1,29,0,0
119,2,28,0,0
120,2,30,0,0
121,1,28,1,1
122,1,28,0,0
123,1,36,0,0
124,2,30,1,0
125,2,49,1,0
126,1,55,0,0
127,2,23,0,0
128,2,30,0,0
129,2,36,0,0
130,2,26,0,0
131,1,25,0,0
132,2,25,1,0
133,1,28,0,0
134,2,34,0,0
135,1,36,0,0
136,2,34,0,0
137,1,36,0,0
138,2,39,1,0
139,1,25,0,0
140,1,25,0,0
141,2,29,0,0
142,2,38,0,0
143,2,42,0,0
144,2,58,1,1
145,2,37,1,0
146,1,28,1,0
147,2,27,1,0
148,2,52,0,0
149,2,24,0,0
150,2,25,0,0
151,2,33,0,0
152,1,32,1,0
153,1,41,0,0
154,2,33,0,0
155,2,25,0,0
156,2,63,1,0
157,2,35,0,1
158,1,35,0,0
159,1,35,0,0
160,1,34,0,0
161,2,26,0,0
162,1,26,0,0
163,1,38,0,0
164,2,31,0,0
165,2,48,0,0
166,1,31,0,0
167,1,30,0,0
168,2,38,0,0
169,1,40,0,0
170,1,29,1,1
171,1,52,0,0
172,1,24,0,0
173,2,25,0,0
174,1,41,1,0
175,2,29,0,0
176,2,44,0,1
177,2,38,0,0
178,1,31,0,0
179,2,32,0,0
180,2,57,1,0
181,1,35,0,0
182,2,30,0,0
183,2,28,0,0
184,2,32,1,0
185,1,27,1,0
186,2,30,0,0
187,2,37,0,0
188,1,48,0,0
189,2,34,0,0
190,1,55,0,0
191,2,25,1,1
192,1,28,0,0
193,2,28,1,0
194,2,51,0,0
195,2,35,1,1
196,2,39,0,0
197,2,27,0,0
198,2,25,0,0
199,2,33,0,0
200,2,39,0,0
201,2,23,0,0
202,1,29,0,0
203,2,48,0,0
204,2,36,0,0
205,2,45,0,0
206,2,26,0,0
207,1,47,0,0
208,2,39,0,0
209,2,43,0,0
210,2,27,0,0
211,2,51,0,0
212,1,30,0,0
213,2,39,0,0
214,1,34,1,0
215,2,26,1,1
216,2,35,1,0
217,2,43,1,1
218,2,51,0,0
219,1,38,0,0
220,1,29,0,0
221,1,46,0,0
222,2,27,0,0
223,2,48,0,0
224,2,25,1,0
225,2,44,0,0
226,1,38,0,0
227,1,24,1,0
228,1,50,0,0
229,2,35,0,0
230,1,49,0,0
231,1,48,1,1
232,2,42,1,0
233,1,45,0,0
234,2,27,1,1
235,2,31,0,0
236,2,27,0,0
237,1,39,0,0
238,2,50,0,0
239,2,34,0,1
240,2,25,0,0
241,2,32,0,0
242,1,29,0,0
243,1,33,0,0
244,1,41,1,0
245,1,22,0,0
246,1,28,0,0
247,1,36,1,0
248,2,36,0,0
249,2,52,0,0
250,2,30,0,1
251,2,39,0,0
252,1,40,0,0
253,2,49,0,0
254,1,54,0,0
255,2,55,0,0
256,2,30,0,0
257,2,22,0,0
258,1,43,0,1
259,2,31,0,0
260,2,46,1,1
261,2,24,0,0
262,2,30,0,0
263,1,40,0,0
264,1,39,0,0
265,2,36,0,0
266,1,62,0,0
267,2,31,0,0
268,2,31,0,0
269,2,27,0,1
270,2,22,0,0
271,1,32,0,0
272,1,39,0,0
273,1,29,0,0
274,2,41,0,1
275,2,30,1,0
276,1,34,0,0
277,2,44,1,0
278,2,40,0,0
279,1,34,0,0
280,2,24,1,0
281,2,31,1,0
282,1,28,0,0
283,1,45,0,0
284,1,34,0,0
285,1,35,1,1
286,2,23,0,0
287,2,42,1,1
288,2,53,1,1
289,2,24,0,0
290,2,42,1,1
291,1,29,1,0
292,1,27,0,1
293,1,29,0,0
294,2,36,0,0
295,1,33,0,0
296,2,31,1,0
297,2,34,1,0
298,1,53,0,0
299,2,25,0,0
300,1,39,0,0
301,1,60,0,0
302,1,24,0,0
303,2,22,1,0
304,2,26,0,0
305,2,40,1,0
306,1,32,0,0
307,1,45,0,0
308,1,32,0,0
309,1,26,0,0
310,1,42,1,0
311,1,29,0,0
312,1,44,0,0
313,1,40,0,1
314,1,35,1,1
315,2,35,1,0
316,1,38,0,0
317,1,38,0,0
318,1,33,0,0
319,2,33,0,0
320,1,39,0,0
321,1,51,0,0
322,1,32,0,0
323,2,31,0,0
324,2,40,0,1
325,2,32,1,0
326,2,28,0,0
327,1,47,1,1
328,2,34,0,1
329,1,23,0,0
330,2,45,1,0
331,1,39,1,0
332,2,44,0,0
333,2,42,0,0
334,2,53,1,1
335,1,41,0,0
336,1,28,0,0
337,1,30,0,0
338,1,29,0,0
339,1,54,0,0
340,1,48,0,0
341,2,29,0,0
342,2,52,0,0
343,1,42,0,0
344,2,54,0,0
345,1,25,1,0
346,1,27,0,0
347,2,28,1,0
348,2,30,0,0
349,2,48,0,0
350,2,23,0,0
351,1,28,0,0
352,2,53,0,0
353,2,42,1,1
354,2,29,0,0
355,2,29,0,0
356,1,38,0,0
357,2,23,1,0
358,1,26,0,0
359,2,36,1,0
360,2,34,0,0
361,2,24,1,0
362,2,32,1,0
363,2,23,0,0
364,2,36,1,0
365,1,39,1,1
366,2,34,1,0
367,2,37,1,0
368,1,27,0,0
369,2,27,0,0
370,2,29,1,0
371,2,23,0,0
372,1,48,1,1
373,2,46,0,0
374,2,36,0,0
375,1,29,0,0
376,1,39,0,0
377,2,24,0,0
378,2,50,0,0
379,2,23,0,0
380,1,30,0,0
381,1,40,0,0
382,2,53,0,0
383,2,24,0,0
384,1,31,0,0
385,1,52,0,0
386,2,40,0,0
387,2,24,0,0
388,2,36,0,0
389,2,25,0,0
390,2,26,0,0
391,2,34,0,0
392,2,40,1,0
393,1,29,0,0
394,2,33,1,0
395,2,47,0,0
396,1,29,1,1
397,1,31,0,0
398,1,31,0,0
399,1,34,1,0
400,2,22,0,0
401,1,41,0,0
402,2,23,0,0
403,1,23,1,0
404,2,46,0,0
405,1,30,0,0
406,1,37,0,0
407,2,24,1,0
408,2,44,0,0
409,2,35,0,0
410,2,36,1,0
411,1,46,1,1
412,2,42,0,0
413,2,27,1,1
414,1,44,0,0
415,1,35,1,0
416,1,36,0,0
417,2,35,0,0
418,1,36,1,0
419,2,35,0,0
420,1,34,0,0
421,1,52,0,0
422,2,25,0,0
423,2,28,0,0
424,2,29,0,0
425,1,32,0,0
426,1,31,0,0
427,2,29,0,0
428,2,58,0,0
429,2,46,0,1
430,2,58,0,0
431,2,42,0,0
432,2,44,1,1
433,1,35,0,0
434,2,29,0,0
435,1,34,0,0
436,2,40,1,0
437,1,28,0,0
438,2,34,0,0
439,2,26,0,0
440,2,23,0,0
441,2,34,1,0
442,2,40,0,0
443,1,58,0,0
444,2,52,0,0
445,1,40,0,0
446,2,24,0,0
447,2,36,0,0
448,2,25,0,0
449,2,28,0,0
450,1,33,0,0
451,2,23,0,0
452,1,38,0,0
453,2,48,1,0
454,2,24,0,0
455,2,53,0,0
456,2,33,0,0
457,1,32,0,0
458,2,39,0,0
459,2,38,0,0
460,1,30,0,0
461,1,29,0,0
462,2,35,0,0
463,2,48,0,0
464,1,25,1,1
465,2,29,0,0
466,2,44,1,0
467,2,27,1,0
468,2,28,0,0
469,2,25,0,0
470,2,50,0,0
471,2,25,1,0
472,1,43,0,0
473,2,39,0,0
474,2,32,1,0
475,1,25,0,1
476,1,28,0,0
477,2,42,0,0
478,1,29,0,0
479,2,40,1,1
480,1,50,1,0
481,1,32,0,0
482,2,31,0,0
483,2,24,1,1
484,2,28,1,0
485,1,53,1,0
486,1,56,0,0
487,2,33,0,0
488,2,30,0,0
489,2,40,0,0
490,1,43,1,0
491,2,27,1,0
492,1,26,1,1
493,1,45,0,0
494,2,43,0,0
495,2,22,0,0
496,2,45,0,0
497,1,35,1,1
498,2,54,0,0
499,1,32,0,0
500,1,27,0,0
501,2,49,0,0
502,2,45,1,0
503,2,24,0,0
504,2,42,0,0
505,2,26,0,0
506,2,44,0,0
507,2,40,0,0
508,1,46,0,0
509,2,37,0,0
510,2,46,0,0
511,2,27,0,0
512,1,58,0,0
513,1,36,0,0
514,1,24,1,0
515,1,47,0,0
516,2,37,0,0
517,2,24,0,0
518,2,30,0,0
519,2,32,0,0
520,2,32,0,0
521,2,27,0,0
522,2,37,0,0
523,2,42,0,0
524,1,43,0,0
525,1,34,0,0
526,2,36,1,0
527,1,37,0,0
528,1,40,0,0
529,2,25,0,0
530,2,39,0,0
531,2,47,0,0
532,2,24,0,0
533,1,32,0,0
534,2,30,1,0
535,2,33,0,0
536,2,32,0,0
537,2,54,1,0
538,2,39,0,0
539,2,58,0,0
540,2,23,0,0
541,2,26,0,1
542,2,30,0,0
543,1,33,0,1
544,2,24,0,0
545,2,25,0,0
546,2,23,0,0
547,2,29,0,0
548,2,37,0,0
549,1,50,0,0
550,2,27,0,0
551,1,41,0,0
552,2,27,0,0
553,2,34,0,0
554,2,50,0,0
555,2,22,0,0
556,2,34,0,0
557,2,53,1,0
558,2,33,0,0
559,2,44,0,0
560,2,28,0,0
561,2,38,0,0
